id,loss
250000,7.507257
250001,5.6307793
250002,7.0127463
250003,6.3490343
250004,6.8134947
250005,8.690266
250006,7.1664524
250007,6.070348
250008,6.4000196
250009,7.3023014
250010,6.207099
250011,7.7400427
250012,5.4026213
250013,6.4400682
250014,8.305031
250015,5.483904
250016,7.6478925
250017,6.937237
250018,5.798635
250019,5.4610167
250020,6.2248173
250021,7.290742
250022,6.8339796
250023,6.985114
250024,5.870594
250025,7.4523993
250026,8.285848
250027,5.432631
250028,6.918654
250029,7.014156
250030,7.130724
250031,6.5182333
250032,5.466853
250033,6.9860287
250034,7.0493994
250035,7.3132997
250036,6.6941943
250037,6.9181895
250038,6.168126
250039,6.7584105
250040,8.069822
250041,6.0556965
250042,7.1320543
250043,7.2390976
250044,7.532528
250045,5.943082
250046,6.2610216
250047,6.1255603
250048,7.868005
250049,5.017602
250050,6.2632732
250051,7.920868
250052,6.800432
250053,6.8883905
250054,5.623557
250055,6.7035084
250056,5.4609594
250057,6.306552
250058,6.797759
250059,7.155628
250060,6.863561
250061,6.3413715
250062,6.6962776
250063,7.234543
250064,7.2406635
250065,5.6907663
250066,5.4497924
250067,5.8798265
250068,6.197495
250069,5.087556
250070,7.110155
250071,6.224395
250072,7.510299
250073,6.4027395
250074,6.42398
250075,7.0585093
250076,7.577384
250077,5.3587403
250078,6.722316
250079,5.2027826
250080,6.1446257
250081,8.212688
250082,6.7339506
250083,6.2690463
250084,6.5572796
250085,7.319433
250086,6.5183444
250087,6.09593
250088,4.927305
250089,6.4068136
250090,5.6743226
250091,5.9684553
250092,6.3849063
250093,6.581936
250094,6.4787073
250095,5.8696747
250096,5.7493
250097,7.640731
250098,6.9489155
250099,5.570513
250100,5.8657084
250101,6.891062
250102,7.227444
250103,5.784514
250104,7.308651
250105,6.0605583
250106,5.441854
250107,5.9908757
250108,6.504083
250109,7.739473
250110,7.2622313
250111,6.8373137
250112,6.103429
250113,7.7529716
250114,6.4893026
250115,5.3785024
250116,6.019173
250117,8.059275
250118,8.281513
250119,6.032332
250120,7.362612
250121,6.8383827
250122,5.6391525
250123,5.78471
250124,6.1816254
250125,7.1802344
250126,6.5168715
250127,5.340961
250128,4.8238297
250129,6.497145
250130,4.249367
250131,5.4330473
250132,6.23366
250133,6.6085753
250134,6.0463
250135,6.9479
250136,6.120488
250137,7.890275
250138,6.4579964
250139,5.0579205
250140,6.562006
250141,6.0532894
250142,7.3753757
250143,6.7138424
250144,5.8207426
250145,8.315478
250146,6.2632847
250147,6.5349445
250148,6.3862658
250149,5.166546
250150,5.6605854
250151,6.0284643
250152,6.9220886
250153,6.8281517
250154,5.6820545
250155,6.831564
250156,7.174451
250157,6.192093
250158,6.634123
250159,5.1452255
250160,8.198072
250161,5.6168737
250162,6.5810685
250163,5.806921
250164,6.222457
250165,8.202058
250166,6.542689
250167,6.990564
250168,5.5722675
250169,7.9145823
250170,7.785881
250171,5.9583273
250172,6.940914
250173,7.4843035
250174,7.757347
250175,6.240892
250176,5.5492926
250177,7.089713
250178,7.1368103
250179,7.088705
250180,5.497834
250181,5.4665394
250182,6.761097
250183,8.098167
250184,6.6383996
250185,6.665983
250186,7.19898
250187,6.2391005
250188,8.247632
250189,6.8148117
250190,7.242296
250191,5.5240717
250192,6.9659224
250193,6.505127
250194,6.317339
250195,7.5566225
250196,5.708446
250197,5.762806
250198,5.675294
250199,8.079321
250200,6.3294826
250201,7.1465473
250202,7.0684824
250203,6.2382207
250204,7.262528
250205,6.0204725
250206,6.1501694
250207,6.164714
250208,8.659794
250209,6.3439503
250210,7.487932
250211,7.7270365
250212,6.329527
250213,6.9523764
250214,6.000555
250215,5.8380857
250216,5.501383
250217,6.980003
250218,6.7278423
250219,6.236203
250220,7.394238
250221,5.4709067
250222,7.318708
250223,6.978799
250224,5.5135593
250225,5.8855724
250226,7.703477
250227,5.124139
250228,7.211618
250229,5.6670504
250230,6.7888412
250231,5.0574327
250232,6.939989
250233,6.9368725
250234,7.204808
250235,6.9635115
250236,5.175829
250237,5.7222786
250238,7.041277
250239,6.256611
250240,7.073909
250241,8.754948
250242,6.423043
250243,8.188784
250244,6.1853023
250245,6.2186584
250246,6.145851
250247,6.819826
250248,5.675233
250249,6.3141823
250250,7.3779483
250251,7.4664392
250252,6.90397
250253,7.4543276
250254,6.860957
250255,6.147604
250256,5.4013753
250257,6.3151875
250258,5.9713135
250259,8.234539
250260,7.506975
250261,6.929573
250262,7.8574142
250263,5.9728
250264,6.9728556
250265,5.6712275
250266,7.8650312
250267,7.4830565
250268,6.3144197
250269,5.8696547
250270,5.7076235
250271,6.2062902
250272,6.360258
250273,5.6316676
250274,6.2414684
250275,6.1073947
250276,6.108293
250277,6.1542234
250278,5.4483285
250279,6.0234413
250280,6.637306
250281,7.846225
250282,5.3452125
250283,7.6915545
250284,7.2092113
250285,7.992559
250286,5.892553
250287,5.8186846
250288,7.9707465
250289,8.829836
250290,6.7739987
250291,5.227979
250292,7.558025
250293,5.8590055
250294,7.9293323
250295,6.2839966
250296,6.3770585
250297,5.7820582
250298,6.2892246
250299,8.0385895
250300,6.119896
250301,5.890947
250302,5.9096417
250303,6.2886343
250304,7.0793457
250305,7.9054117
250306,8.678348
250307,5.481056
250308,5.3210073
250309,6.1853065
250310,6.4171405
250311,6.5816965
250312,7.275363
250313,6.0653276
250314,5.8884525
250315,8.954029
250316,6.3776693
250317,7.338518
250318,5.376676
250319,6.1439705
250320,8.203778
250321,6.943838
250322,6.7668233
250323,6.8978066
250324,6.6160936
250325,6.3444433
250326,6.2565966
250327,5.7780447
250328,7.6634536
250329,6.6078424
250330,5.091855
250331,7.1251006
250332,7.6687922
250333,5.7588243
250334,5.855155
250335,8.056078
250336,6.3465433
250337,6.214676
